id,component,theetta1,theetta2,PiT
1,resistors,55,25,0.49
2,resistors,55,30,0.56
3,resistors,55,40,0.71
4,resistors,55,50,0.89
5,resistors,55,60,1.1
6,resistors,55,70,1.4
7,resistors,55,80,1.8
8,resistors,55,90,2.2
9,resistors,55,100,2.8
10,resistors,55,110,3.6
11,resistors,55,120,4.6
12,resistors,55,125,5.1
13,resistors,85,25,0.25
14,resistors,85,30,0.28
15,resistors,85,40,0.35
16,resistors,85,50,0.45
17,resistors,85,60,0.56
18,resistors,85,70,0.71
19,resistors,85,80,0.89
20,resistors,85,90,1.1
21,resistors,85,100,1.4
22,resistors,85,110,1.8
23,resistors,85,120,2.3
24,resistors,85,125,2.6
25,inductors,55,25,0.79
26,inductors,55,30,0.82
27,inductors,55,40,0.89
28,inductors,55,50,0.96
29,inductors,55,60,1.1
30,inductors,55,70,1.2
31,inductors,55,80,1.5
32,inductors,55,90,2.3
33,inductors,55,100,4.3
34,inductors,55,110,8.8
35,inductors,55,120,19
36,inductors,55,125,29
37,inductors,60,25,0.75
38,inductors,60,30,0.78
39,inductors,60,40,0.84
40,inductors,60,50,0.91
41,inductors,60,60,1
42,inductors,60,70,1.1
43,inductors,60,80,1.5
44,inductors,60,90,2.2
45,inductors,60,100,4
46,inductors,60,110,8.4
47,inductors,60,120,18
48,inductors,60,125,27
49,inductors,85,25,0.43
50,inductors,85,30,0.44
51,inductors,85,40,0.48
52,inductors,85,50,0.52
53,inductors,85,60,0.57
54,inductors,85,70,0.66
55,inductors,85,80,0.83
56,inductors,85,90,1.3
57,inductors,85,100,2.3
58,inductors,85,110,4.8
59,inductors,85,120,10
60,inductors,85,125,15
61,Transformers,55,25,0.79
62,Transformers,55,30,0.82
63,Transformers,55,40,0.89
64,Transformers,55,50,0.96
65,Transformers,55,60,1.1
66,Transformers,55,70,1.2
67,Transformers,55,80,1.5
68,Transformers,55,90,2.3
69,Transformers,55,100,4.3
70,Transformers,55,110,8.8
71,Transformers,55,120,19
72,Transformers,55,125,29
73,Transformers,60,25,0.75
74,Transformers,60,30,0.78
75,Transformers,60,40,0.84
76,Transformers,60,50,0.91
77,Transformers,60,60,1
78,Transformers,60,70,1.1
79,Transformers,60,80,1.5
80,Transformers,60,90,2.2
81,Transformers,60,100,4
82,Transformers,60,110,8.4
83,Transformers,60,120,18
84,Transformers,60,125,27
85,Transformers,85,25,0.43
86,Transformers,85,30,0.44
87,Transformers,85,40,0.48
88,Transformers,85,50,0.52
89,Transformers,85,60,0.57
90,Transformers,85,70,0.66
91,Transformers,85,80,0.83
92,Transformers,85,90,1.3
93,Transformers,85,100,2.3
94,Transformers,85,110,4.8
95,Transformers,85,120,10
96,Transformers,85,125,15
97,Transistors,40,25,0.54
98,Transistors,40,30,0.67
99,Transistors,40,35,0.82
100,Transistors,40,40,1
101,Transistors,40,45,1.2
102,Transistors,40,50,1.5
103,Transistors,40,55,1.8
104,Transistors,40,60,2.2
105,Transistors,40,65,2.7
106,Transistors,40,70,3.3
107,Transistors,40,75,4.1
108,Transistors,40,80,5.1
109,Transistors,40,85,6.3
110,Transistors,40,90,7.7
111,Transistors,40,95,9.6
112,Transistors,40,100,12
113,Transistors,40,110,18
114,Transistors,40,120,28
115,Transistors,40,125,35
116,Transistors,40,130,44
117,Transistors,40,140,67
118,Transistors,40,145,83
119,Transistors,40,150,102
120,Transistors,40,160,153
121,Transistors,40,175,275
122,Transistors,40,180,332
123,Transistors,40,200,689
124,Transistors,45,25,0.44
125,Transistors,45,30,0.54
126,Transistors,45,35,0.67
127,Transistors,45,40,0.82
128,Transistors,45,45,1
129,Transistors,45,50,1.2
130,Transistors,45,55,1.5
131,Transistors,45,60,1.8
132,Transistors,45,65,2.2
133,Transistors,45,70,2.7
134,Transistors,45,75,3.4
135,Transistors,45,80,4.1
136,Transistors,45,85,5.1
137,Transistors,45,90,6.3
138,Transistors,45,95,7.8
139,Transistors,45,100,9.7
140,Transistors,45,110,15
141,Transistors,45,120,23
142,Transistors,45,125,29
143,Transistors,45,130,35
144,Transistors,45,140,55
145,Transistors,45,145,68
146,Transistors,45,150,83
147,Transistors,45,160,125
148,Transistors,45,175,225
149,Transistors,45,180,272
150,Transistors,45,200,583
151,Transistors,55,25,0.3
152,Transistors,55,30,0.37
153,Transistors,55,35,0.45
154,Transistors,55,40,0.55
155,Transistors,55,45,0.67
156,Transistors,55,50,0.82
157,Transistors,55,55,1
158,Transistors,55,60,1.2
159,Transistors,55,65,1.5
160,Transistors,55,70,1.8
161,Transistors,55,75,2.3
162,Transistors,55,80,2.8
163,Transistors,55,85,3.4
164,Transistors,55,90,4.2
165,Transistors,55,95,5.3
166,Transistors,55,100,6.5
167,Transistors,55,110,10
168,Transistors,55,120,16
169,Transistors,55,125,19
170,Transistors,55,130,24
171,Transistors,55,140,37
172,Transistors,55,145,45
173,Transistors,55,150,56
174,Transistors,55,160,84
175,Transistors,55,175,150
176,Transistors,55,180,182
177,Transistors,55,200,377
178,Transistors,70,25,0.16
179,Transistors,70,30,0.2
180,Transistors,70,35,0.24
181,Transistors,70,40,0.3
182,Transistors,70,45,0.37
183,Transistors,70,50,0.45
184,Transistors,70,55,0.54
185,Transistors,70,60,0.67
186,Transistors,70,65,0.82
187,Transistors,70,70,1
188,Transistors,70,75,1.2
189,Transistors,70,80,1.5
190,Transistors,70,85,1.2
191,Transistors,70,90,2.3
192,Transistors,70,95,2.9
193,Transistors,70,100,3.6
194,Transistors,70,110,5.5
195,Transistors,70,120,8.5
196,Transistors,70,125,11
197,Transistors,70,130,13
198,Transistors,70,140,20
199,Transistors,70,145,25
200,Transistors,70,150,30
201,Transistors,70,160,46
202,Transistors,70,175,82
203,Transistors,70,180,99
204,Transistors,70,200,206
205,Transistors,85,25,0.087
206,Transistors,85,30,0.11
207,Transistors,85,35,0.13
208,Transistors,85,40,0.16
209,Transistors,85,45,0.2
210,Transistors,85,50,0.24
211,Transistors,85,55,0.29
212,Transistors,85,60,0.36
213,Transistors,85,65,0.44
214,Transistors,85,70,0.54
215,Transistors,85,75,0.66
216,Transistors,85,80,0.81
217,Transistors,85,85,1
218,Transistors,85,90,1.2
219,Transistors,85,95,1.5
220,Transistors,85,100,1.9
221,Transistors,85,110,2.9
222,Transistors,85,120,4.5
223,Transistors,85,125,5.6
224,Transistors,85,130,7
225,Transistors,85,140,11
226,Transistors,85,145,13
227,Transistors,85,150,16
228,Transistors,85,160,24
229,Transistors,85,175,44
230,Transistors,85,180,53
231,Transistors,85,200,110